iter	Passed	Remaining
0	76	76776
1	77	38626
2	77	25894
3	78	19537
4	78	15720
5	79	13179
6	80	11366
7	80	9999
8	81	8937
9	81	8090
10	82	7392
11	82	6809
12	83	6314
13	83	5892
14	84	5524
15	84	5205
16	85	4927
17	85	4675
18	86	4450
19	86	4249
20	87	4064
21	87	3898
22	88	3747
23	88	3608
24	89	3479
25	89	3360
26	90	3249
27	90	3149
28	91	3054
29	91	2965
30	92	2880
31	92	2801
32	93	2729
33	93	2663
34	94	2597
35	94	2538
36	95	2483
37	95	2429
38	96	2378
39	96	2327
40	97	2279
41	97	2234
42	98	2191
43	98	2149
44	99	2110
45	99	2071
46	100	2035
47	100	2000
48	101	1967
49	101	1935
50	102	1904
51	102	1875
52	103	1846
53	103	1818
54	104	1791
55	104	1765
56	105	1740
57	105	1715
58	106	1692
59	106	1669
60	107	1647
61	107	1626
62	107	1605
63	108	1586
64	109	1568
65	109	1551
66	110	1535
67	110	1517
68	111	1500
69	111	1483
70	112	1467
71	112	1452
72	113	1437
73	113	1422
74	114	1409
75	114	1395
76	115	1381
77	115	1369
78	116	1356
79	116	1345
80	117	1332
81	118	1321
82	118	1306
83	118	1294
84	119	1283
85	119	1274
86	120	1263
87	120	1253
88	121	1243
89	121	1233
90	122	1222
91	122	1212
92	123	1203
93	123	1194
94	124	1185
95	125	1177
96	125	1168
97	126	1160
98	126	1151
99	127	1143
100	127	1135
101	128	1127
102	128	1119
103	129	1111
104	129	1104
105	130	1097
106	130	1090
107	131	1082
108	131	1076
109	132	1069
110	132	1063
111	133	1056
112	133	1049
113	134	1043
114	134	1037
115	135	1030
116	135	1024
117	136	1018
118	136	1012
119	137	1006
120	137	1001
121	138	995
122	138	990
123	139	985
124	140	981
125	140	976
126	141	970
127	141	965
128	142	961
129	142	955
130	143	950
131	143	945
132	144	940
133	144	935
134	145	930
135	145	925
136	146	921
137	146	916
138	147	912
139	147	908
140	148	904
141	148	898
142	149	894
143	149	890
144	150	886
145	150	882
146	151	877
147	151	873
148	152	869
149	152	865
150	153	861
151	153	857
152	154	853
153	154	850
154	155	847
155	155	843
156	156	839
157	156	836
158	157	832
159	157	828
160	158	824
161	158	820
162	159	817
163	159	814
164	160	812
165	160	808
166	161	805
167	162	802
168	162	799
169	163	797
170	163	794
171	164	791
172	164	788
173	165	785
174	165	782
175	166	779
176	166	776
177	167	772
178	167	770
179	168	767
180	168	764
181	169	761
182	170	760
183	170	758
184	171	755
185	171	752
186	172	749
187	172	746
188	173	743
189	173	741
190	174	738
191	174	735
192	175	732
193	175	729
194	176	727
195	176	724
196	177	721
197	177	719
198	178	716
199	178	714
200	179	711
201	179	708
202	179	706
203	180	703
204	180	701
205	181	698
206	181	696
207	182	694
208	182	692
209	183	690
210	183	687
211	184	685
212	184	683
213	185	680
214	185	678
215	186	676
216	186	674
217	187	672
218	187	669
219	188	667
220	188	665
221	189	663
222	189	660
223	190	658
224	190	656
225	191	654
226	191	652
227	191	650
228	192	647
229	192	645
230	193	643
231	193	641
232	194	639
233	194	637
234	195	635
235	195	633
236	196	631
237	196	629
238	197	627
239	197	625
240	198	623
241	198	621
242	198	619
243	199	618
244	200	616
245	200	614
246	201	612
247	201	611
248	202	609
249	202	607
250	202	605
251	203	604
252	204	602
253	204	600
254	205	598
255	205	597
256	206	595
257	206	594
258	207	592
259	207	591
260	208	590
261	208	588
262	209	586
263	209	585
264	210	583
265	210	582
266	211	580
267	211	578
268	212	577
269	213	575
270	213	574
271	213	572
272	214	571
273	214	569
274	215	568
275	216	566
276	216	565
277	217	563
278	217	562
279	218	560
280	218	559
281	219	558
282	219	556
283	220	555
284	220	553
285	221	552
286	221	550
287	222	549
